utr_number,settlement_amount,settlement_date,narration,bank_ref_type
UTR914655221101,5842.87,2026-02-02,PG SETL 189,RTGS
UTR886833016361,1860.41,2026-03-09,IMPS 818,RTGS
UTR268697172873,2313.96,2026-01-02,UPI/331148,UPI
UTR605645347792,931.87,2026-02-17,PG SETL 227,RTGS
UTR826046287257,4982.95,2026-02-19,UPI/182627,UPI
UTR488136971784,964.5,2026-02-07,UPI/183667,UPI
UTR518597220210,5031.22,2026-03-13,NEFT/SNEH,IMPS
UTR393780765787,6046.7,2026-01-09,RAZORPAY*316,UPI
UTR371182647325,6932.96,2026-03-26,IMPS 674,UPI
UTR200903882207,4639.42,2026-02-17,NAND UPI,NEFT
UTR681830843906,5377.77,2026-03-19,NEFT/SIDD,NEFT
UTR578001943304,6933.76,2026-02-07,UPI/813328,NEFT
UTR767900326356,5998.33,2026-03-07,UPI/857168,UPI
UTR220342736258,7457.06,2026-03-10,NEFT/SIDD,UPI
UTR937424066816,6882.13,2026-01-12,PG SETL 884,IMPS
UTR696695139934,1452.87,2026-03-12,TUSH UPI,IMPS
UTR230788137103,7774.25,2026-03-27,UPI/847581,NEFT
UTR794529888366,4413.9,2026-03-18,RAZORPAY*334,NEFT
UTR244049912883,4111.05,2026-02-08,IMPS 684,RTGS
UTR552790822417,3295.42,2026-01-14,TUSH/RZRPY,NEFT
UTR689227460591,3261.62,2026-02-14,ANAN/RZRPY,RTGS
UTR281403868608,2097.79,2026-01-12,NEHA/RZRPY,RTGS
UTR962972824015,641.85,2026-02-19,SWAT UPI,UPI
UTR151785130539,1641.52,2026-01-29,PG SETL 588,IMPS
UTR361399523052,6679.03,2026-01-12,SACH/RZRPY,IMPS
UTR835316694200,819.66,2026-03-29,IMPS 421,IMPS
UTR602551183219,5310.82,2026-02-10,PG SETL 676,NEFT
UTR273022703378,2215.02,2026-02-15,KAVY/RZRPY,UPI
UTR225689924079,5281.67,2026-03-14,RAZORPAY*860,IMPS
UTR376976135264,1799.42,2026-02-14,RAJ UPI,NEFT
UTR391971008994,2302.46,2026-01-03,UPI/765095,RTGS
UTR741535897688,268.92,2026-01-13,PG SETL 251,RTGS
UTR831216162375,2972.43,2026-01-08,RAZORPAY*462,RTGS
UTR908224199827,7277.18,2026-01-22,NEFT/KIRA,RTGS
UTR619083705463,1407.71,2026-04-01,UPI/941204,RTGS
UTR538916150327,6252.56,2026-01-31,NEFT/SHRE,NEFT
UTR387635680418,5080.76,2026-02-24,UPI/910891,UPI
UTR735223535913,3504.89,2026-02-12,UPI/140115,NEFT
UTR174866852259,4154.95,2026-03-13,IMPS 438,UPI
UTR866232475190,7049.97,2026-03-08,NEFT/RAHU,IMPS
UTR433156770265,7357.02,2026-03-31,HARS/RZRPY,NEFT
UTR587228760932,3469.28,2026-03-19,IMPS 318,RTGS
UTR360924151492,841.08,2026-03-10,IMPS 417,IMPS
UTR734065014236,381.3,2026-02-03,UPI/945742,RTGS
UTR294213443847,1319.17,2026-03-31,SWAT UPI,RTGS
UTR755235594840,6656.14,2026-03-01,NEFT/RIYA,RTGS
UTR385400876441,6520.83,2026-03-14,SACH UPI,UPI
UTR397359885684,4968.55,2026-02-07,NEFT/MADH,NEFT
UTR548458442836,3112.45,2026-01-23,NEFT/KIRA,RTGS
UTR625619734196,6538.51,2026-02-22,RAZORPAY*460,UPI
UTR397295152191,6985.95,2026-02-26,VIVE/RZRPY,NEFT
UTR241388354666,5367.57,2026-02-24,PG SETL 646,NEFT
UTR517729190564,5090.41,2026-01-20,NEFT/ROHA,RTGS
UTR119199821669,6894.55,2026-02-07,IMPS 652,NEFT
UTR782987331574,717.87,2026-03-26,UPI/466960,IMPS
UTR768322220181,7413.32,2026-03-08,IMPS 835,NEFT
UTR890022600581,1018.55,2026-01-11,UPI/915573,IMPS
UTR570439558680,5406.54,2026-01-25,IMPS 479,NEFT
UTR606070444418,6665.58,2026-03-09,IMPS 256,RTGS
UTR906705387446,2252.2,2026-03-18,PG SETL 374,UPI
UTR772462383766,7313.28,2026-02-13,IMPS 488,UPI
UTR406404422214,2670.56,2026-03-10,PG SETL 818,UPI
UTR935608119076,7415.65,2026-01-17,UPI/682789,RTGS
UTR369259175565,6234.2,2026-01-19,NEFT/PALL,UPI
UTR436171026274,3435.88,2026-03-19,NEFT/MADH,NEFT
UTR912678183898,1105.8,2026-03-13,TXN5530,UPI
UTR401191380396,1927.77,2026-01-25,UPI-1893,UPI
UTR616617303633,6809.41,2026-03-05,TXN8216,UPI
UTR179421446737,7362.35,2026-03-04,PMT1878,IMPS
UTR970143739098,7764.88,2026-01-19,PMT4697,RTGS
UTR915872454727,6746.24,2026-02-26,NEFT4404,IMPS
UTR595675808653,2022.08,2026-03-13,PMT8699,UPI
UTR391730976567,5579.4,2026-04-02,PMT4241,RTGS
UTR968296026728,1329.97,2026-02-05,PGW5728,RTGS
UTR757475491416,2511.21,2026-02-23,UPI-8078,UPI
UTR395585753511,890.82,2026-03-31,PG SETL 141,IMPS
UTR640368067420,3563.26,2026-02-06,RAZORPAY*581,UPI
UTR827087359039,5298.96,2026-01-23,TANY/RZRPY,NEFT
UTR696439391755,2117.53,2026-01-17,VIKR/RZRPY,NEFT
UTR392932052116,4937.21,2026-03-08,PG SETL 234,UPI
UTR115250737438,725.5,2026-02-03,PG SETL 517,NEFT
UTR399382463310,3097.31,2026-01-22,RAHU/RZRPY,RTGS
UTR947295030873,2242.52,2026-03-21,RIYA UPI,RTGS
UTR690328426008,3082.47,2026-02-11,SACH/RZRPY,UPI
