rzp_payment_id,order_id,amount,currency,rzp_fee,captured_at,method,status
pay_3104c0024e4d49,ORD770487,5984.09,INR,141.22,2026-02-01,card,captured
pay_8d2245b66ef044,ORD133326,1905.38,INR,44.97,2026-03-06,upi,captured
pay_f9a02ef634a945,ORD331148,2369.89,INR,55.93,2026-01-01,wallet,captured
pay_576f75c4168c42,ORD207175,954.39,INR,22.52,2026-02-14,netbanking,captured
pay_99054e0949484d,ORD182627,5103.39,INR,120.44,2026-02-16,card,captured
pay_6176f8ae885c4d,ORD183667,987.81,INR,23.31,2026-02-05,netbanking,captured
pay_aa04f71357bd44,ORD835911,5152.83,INR,121.61,2026-03-10,card,captured
pay_d9ccd5e8a0504e,ORD817870,6192.85,INR,146.15,2026-01-08,upi,captured
pay_c76289ecee2740,ORD322955,7100.53,INR,167.57,2026-03-24,card,captured
pay_96a769ba01ef4f,ORD883300,4751.56,INR,112.14,2026-02-16,card,captured
pay_71944bf6f0de4d,ORD260265,5507.75,INR,129.98,2026-03-18,wallet,captured
pay_bfc509f24f4847,ORD813328,7101.35,INR,167.59,2026-02-04,netbanking,captured
pay_80711d4aecae44,ORD857168,6143.31,INR,144.98,2026-03-06,netbanking,captured
pay_2938857068fe42,ORD899550,7637.3,INR,180.24,2026-03-09,netbanking,captured
pay_b1f6a457e9304a,ORD351083,7048.47,INR,166.34,2026-01-11,wallet,captured
pay_0dedb11902cb4c,ORD234628,1487.99,INR,35.12,2026-03-09,wallet,captured
pay_6a77b721079f46,ORD847581,7962.16,INR,187.91,2026-03-25,wallet,captured
pay_01ac645cefc149,ORD454508,4520.59,INR,106.69,2026-03-17,upi,captured
pay_418f2783328641,ORD132938,4210.42,INR,99.37,2026-02-05,wallet,captured
pay_68a5b95012ca4e,ORD354801,3375.07,INR,79.65,2026-01-13,wallet,captured
pay_4a743c6318ad40,ORD806073,3340.45,INR,78.83,2026-02-13,card,captured
pay_e5c9f9cc222b48,ORD292401,2148.49,INR,50.7,2026-01-10,upi,captured
pay_25d2da10162140,ORD324130,657.36,INR,15.51,2026-02-18,wallet,captured
pay_f3f145c0977e4c,ORD543555,1681.2,INR,39.68,2026-01-28,upi,captured
pay_7082a1fb6f5f4c,ORD159642,6840.47,INR,161.44,2026-01-09,upi,captured
pay_8e4d0663bc344a,ORD707040,839.47,INR,19.81,2026-03-26,netbanking,captured
pay_14c8710f085f4e,ORD378517,5439.18,INR,128.36,2026-02-08,netbanking,captured
pay_394138696dac4f,ORD176819,2268.56,INR,53.54,2026-02-14,card,captured
pay_bd3cd86e45bb41,ORD741390,5409.33,INR,127.66,2026-03-12,upi,captured
pay_cb06f08f4ba046,ORD385577,1842.91,INR,43.49,2026-02-13,netbanking,captured
pay_9af45604f0d14d,ORD765095,2358.11,INR,55.65,2026-01-01,card,captured
pay_a86ff7e523534b,ORD678478,275.42,INR,6.5,2026-01-10,card,captured
pay_34d6ba14465e4a,ORD233636,3044.28,INR,71.85,2026-01-06,card,captured
pay_385a5e724b2144,ORD750810,7453.07,INR,175.89,2026-01-21,wallet,captured
pay_6ff8f386fe484f,ORD941204,1441.74,INR,34.03,2026-03-31,wallet,captured
pay_e06e864668c240,ORD466643,6403.69,INR,151.13,2026-01-30,upi,captured
pay_ba72d1200e3542,ORD910891,5203.56,INR,122.8,2026-02-21,netbanking,captured
pay_4a5d8f9a9a984a,ORD140115,3589.6,INR,84.71,2026-02-10,upi,captured
pay_69c2c5dda4804f,ORD843215,4255.38,INR,100.43,2026-03-10,card,captured
pay_749e2ca36efd40,ORD795612,7220.37,INR,170.4,2026-03-06,wallet,captured
pay_d47196cc7fcc49,ORD301158,7534.84,INR,177.82,2026-03-28,card,captured
pay_30efa4f1b97041,ORD418635,3553.13,INR,83.85,2026-03-16,netbanking,captured
pay_f4b1d837637244,ORD932291,861.41,INR,20.33,2026-03-07,netbanking,captured
pay_2be544c1a5054d,ORD945742,390.52,INR,9.22,2026-02-01,upi,captured
pay_befba9172f8048,ORD618392,1351.06,INR,31.89,2026-03-30,upi,captured
pay_a8e57a65c0624f,ORD152657,6817.02,INR,160.88,2026-02-28,wallet,captured
pay_fe3f51c5543f4a,ORD742412,6678.44,INR,157.61,2026-03-12,card,captured
pay_d9dade10bece43,ORD903013,5088.64,INR,120.09,2026-02-05,upi,captured
pay_7f7216ce9aea42,ORD245095,3187.68,INR,75.23,2026-01-20,card,captured
pay_87f72449de054a,ORD535970,6696.55,INR,158.04,2026-02-19,upi,captured
pay_272547ea337d44,ORD890075,7154.8,INR,168.85,2026-02-23,card,captured
pay_6748002d58e145,ORD507746,5497.31,INR,129.74,2026-02-21,card,captured
pay_2586dedfe90a42,ORD513160,5213.45,INR,123.04,2026-01-18,card,captured
pay_fb3196a4ac2747,ORD442722,7061.19,INR,166.64,2026-02-05,netbanking,captured
pay_18432e21853b46,ORD466960,735.22,INR,17.35,2026-03-25,upi,captured
pay_da7e6977fc5f4d,ORD596564,7592.5,INR,179.18,2026-03-01,netbanking,captured
pay_8d89887df05648,ORD915573,1043.17,INR,24.62,2026-01-04,wallet,captured
pay_a68940787aa94c,ORD206851,5537.22,INR,130.68,2026-01-16,upi,captured
pay_98d2bd8a05ae4c,ORD630538,6826.69,INR,161.11,2026-03-04,wallet,captured
pay_23ec3e8904c046,ORD284692,2306.64,INR,54.44,2026-03-10,wallet,captured
pay_0b4bbedd675d43,ORD993085,7490.05,INR,176.77,2026-02-05,card,captured
